condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,32.413738800683866,success,0.0,0.0,0.0,0.0,success,success,success,2.54085900612706,success,124.21458523776855,34.287458286225565,1.1544878672738654,1.0,1.0,0.6563242896081033,116.44551607475752,4.87806297855653,-32.67408684270991,3.9280198592477715,-1.015943277661649,0.761617673957965,-0.3009422748240878,0.8717767964464441,4.685999999999639,0,,nan,cut,1.03554317221638,1.0546143491461657,-0.38538145010029723,-0.028037168628807858,0.02174540571114422,True,,8.136734418047126
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,52.95237065926178,success,0.0,0.0,0.0,0.0,success,success,success,1.951102005285848,success,96.90035162754253,23.346627743486422,0.6863014945458079,1.0,1.0,0.6704897761475653,85.64658803229855,4.653178385849999,-50.725064137080736,8.666072937154956,-2.575976252621379,0.9685020351768159,-0.19266251000832219,0.9505868947102025,4.8299999999996235,0,,nan,cut,1.1333963741034236,1.1293939168302014,3.887369724050699,-8.611607516658861e-08,0.006861052156807609,True,,7.375727812992409
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,37.72611871834702,success,0.0,0.0,0.0,0.0,success,success,success,2.299780457462267,success,123.70211492467476,36.30886754759436,1.2819951638550322,1.0,0.0,0.6718975974305724,116.51373852665486,5.3614060971487465,-37.89652390575618,2.673616732489487,-0.3743392225417156,1.9673791172238053,-0.5393533493667475,0.7592561787551901,4.3299999999996786,0,,nan,cut,1.8885362604982303,1.8880616499146186,-0.18482714226861977,1.764195159601674e-08,0.005816349890625275,True,,7.198667194985319
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,125.55885459648808,success,0.0,0.0,0.0,0.0,success,success,success,1.2720492757414155,unreachable,103.86046581300717,26.1534638082863,0.8020259244124901,1.0,1.0,0.6882310106493863,96.956707307909,4.868779222828357,-125.5246620671503,11.694109929256014,-0.5648992088687924,nan,nan,nan,4.8479999999996215,0,,nan,cut,6.894211488814306,6.45993979945464,8.786264122945909,-0.5195243675894461,0.22974819629521057,False,orient: unreachable,9.239050208998378
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-83.09735045608836,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,trotter_not_over_blade,nan,nan,nan,nan,nan,False,grasp: unreachable,16.07718969398411
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,94.51770812942895,success,0.0,0.0,0.0,0.0,success,success,success,1.6399005041497634,success,125.94580308103792,33.01864246370734,1.0732556243067881,1.0,1.0,0.6912092049787637,113.32987397984704,4.897653681300351,-94.36641138644686,9.50661919099084,-1.1011080799403283,2.392719151085493,0.7840121183041168,0.9850686006100253,5.095999999999594,0,,nan,cut,2.372000346834602,2.3702674528332524,0.7859067982052277,2.2613883729611588e-08,0.0060567401736550276,True,,18.285518496995792
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.4699134657593534,142.18553355838563,success,0.0,0.0,0.0,0.0,success,success,success,3.543616980458222,unreachable,99.18586986139293,25.073698710873842,0.7613779444507077,1.0,2.0,0.6858244865886,91.02762166547848,5.001453476610962,-142.09617716395,15.019954705021409,0.295400695754808,nan,nan,nan,4.849999999999621,0,,nan,trotter_not_over_blade,nan,nan,nan,nan,nan,False,orient: unreachable,23.34274525102228
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-88.01835850143354,success,0.0,0.0,0.0,0.0,success,success,success,3.637184327841803,success,107.67407911200083,26.19508718398554,0.8076000535221018,1.0,1.0,0.704619146776909,111.76656714496747,4.8113311232320655,87.93324653802934,11.933810993765697,1.3719774302930285,1.2791130871830647,-0.6428475539172191,0.9872990468207828,5.059999999999598,0,,nan,cut,2.8635606789985113,2.7992480007512643,3.0002485421937264,-0.1223894582517601,0.09981476077168071,True,,16.917395621945616
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-2.769757753198743,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,46.67840117441602,46.67736128878991,-2.765900888862739,1.0455424682156293e-08,0.005982775613582918,False,grasp: unreachable,15.584734948002733
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.3981914824746696,-157.5844792429438,success,0.0,0.0,0.0,0.0,success,success,success,11.840748159274947,unreachable,99.66732176817325,27.97403998286462,0.9223607091372366,1.0,1.0,7.100129180252003,87.86117010984346,5.003110093386387,162.6861819281617,30.88369644552589,6.148988584306944,nan,nan,nan,4.875999999999618,47,g_finger_left_pad/belt_surface,0.9580000000000007,cut,4.955386812971863,4.7873037683318636,7.728935658212621,-0.18820203665805882,0.06537159539126015,False,orient: unreachable,16.188931663986295
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,10,740.960452494745,11.20849080369745,0.4038333707553584,-126.56710853387168,success,0.0,0.0,0.0,0.0,success,success,success,3.9671493599790817,success,109.95529478427198,30.86811614115756,1.0336074668333803,1.0,1.0,0.6975810406469776,94.69685201085139,4.736678186021526,126.27915056417125,31.08077203505306,7.443777434092961,2.056069924319587,-1.3142597886093004,1.0145596415105262,5.249999999999577,0,,nan,cut,4.103022382663635,3.171428413311417,11.953651699121517,-0.9087887513156632,0.3116793525949516,False,cut angle +12.0 deg,15.716362628969364
A-sr20ia-jaw_geh6180-tilt0-truth-any,A,truth,sr20ia,jaw_geh6180,0.0,11,677.9637845272142,10.310214757940436,0.4778003061193643,-8.464757694973628,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,82.00956172854052,84.31353771819194,-8.487734371857602,-2.501726220506052,1.253175413191211,False,grasp: unreachable,15.293156624014955
